dist_cumul [km];lat [g];lon [g];height (NF02) [m]
2.787317489;46.63404161;6.650811293;651.9
2.792202391;46.63403342;6.650748435;652.3
2.799117319;46.63399728;6.650674738;652.5
2.804275132;46.63396902;6.65062117;653
2.813357082;46.63390899;6.650540506;652.5
2.824253662;46.63385607;6.650420391;652.4
2.836535647;46.63383638;6.65026211;652.5
2.84842975;46.63382601;6.650107066;652.6
2.85934401;46.63380722;6.649966765;652.7
2.869241361;46.63379316;6.649838766;652.8
2.883023713;46.63385794;6.649684873;652.7
2.895286619;46.63392836;6.649561261;652.4
2.903602983;46.63398597;6.649491817;652
2.917166497;46.63408584;6.64959382;651.7
2.937863388;46.63423951;6.649746768;651.5
2.960432991;46.63441561;6.649893767;651.1
2.971007286;46.63449439;6.649971338;650.4
2.976690592;46.63453804;6.650010062;650.1
2.979090093;46.63455559;6.650028355;649.9
2.980510389;46.63456795;6.650023675;649.9
2.981587;46.63457251;6.650011238;649.9
2.983392166;46.63457312;6.649987612;650.3
2.986187919;46.63457752;6.64995156;650.1
2.990398701;46.63457869;6.649896436;650.2
2.99576664;46.634572;6.649826808;650.1
3.002312598;46.63457606;6.649741277;649.9
3.008933013;46.63457236;6.649654736;650
3.017495958;46.63458088;6.649543274;649.3
3.031297958;46.63464956;6.649392694;649
3.04651053;46.6347212;6.649222953;647.6
3.07039099;46.6348013;6.648932752;647.4
3.080795482;46.63484851;6.6488151;647.3
3.0885568;46.63487886;6.648723561;646.7
3.097678515;46.63493559;6.648637258;646.9
3.110846086;46.63501214;6.64850568;646.2
3.122524643;46.63508732;6.648398864;646.1
3.13227904;46.63514396;6.648301315;645.6
3.139950763;46.63519462;6.648233095;645.9
3.145063703;46.63522526;6.648183162;646
3.156248207;46.6353052;6.648094269;646.7
3.17142993;46.63541124;6.647969005;644.9
3.185992577;46.63552998;6.64788854;644.1
3.194244707;46.63559785;6.647844808;643.5
3.206024402;46.63569186;6.647773702;643.5
3.219619378;46.63579697;6.647682752;642.6
3.240580261;46.63595906;6.647542605;642.8
3.261787306;46.63608309;6.647331601;643.3
3.281029079;46.63614187;6.647094562;642.4
3.311270266;46.63624778;6.646729744;640.4
3.325553553;46.63634845;6.646613551;637.8
3.344154653;46.63643532;6.646405338;636.4
3.355720066;46.63651129;6.646301878;636.3
3.363930514;46.63656383;6.646226317;636.3
3.367549526;46.63658331;6.646188354;636.9
3.379003767;46.63662574;6.646051647;637.4
3.387167967;46.6366281;6.645944769;637.5
3.399644004;46.63670317;6.645823327;637.6
3.40663995;46.63674843;6.64575968;637
3.416127256;46.63680902;6.64567219;637.2
3.431583787;46.63686505;6.645486921;637.5
3.438730954;46.63689391;6.645403271;639.3
3.456869206;46.63700267;6.645226223;638.1
3.487642435;46.63719275;6.644933261;637.7
3.496626766;46.63727324;6.644923079;637.5
3.503818335;46.63733384;6.644890141;637.3
3.509568519;46.63737378;6.644842316;637.2
3.519652469;46.63740857;6.644720339;636.4
3.531077814;46.63749005;6.644629165;631.6
3.557804736;46.6376431;6.644359237;630.2
3.572302847;46.63771715;6.64420294;631.2
3.576868392;46.63772836;6.644145416;632.6
3.580761907;46.63770409;6.644108659;633.2
3.58318743;46.63768238;6.644105605;634
3.58755683;46.63764929;6.644136459;634.9
3.595320282;46.63759001;6.644190192;635.2
3.604265279;46.6375317;6.644270903;636.6
3.631883325;46.63740762;6.644584267;637.3
3.651290721;46.6372818;6.644760444;638
3.668767786;46.63714232;6.644865967;639.2
3.690404161;46.6369705;6.644998957;639.7
3.700714938;46.63687822;6.644985694;639.9
3.720818927;46.63672159;6.644854164;639.6
3.76414194;46.63638037;6.64458027;639.2
